Hypertension,0.4,I10,I10,lisinopril,metoprolol,amlodipine
Type 2 diabetes mellitus,0.3,E11.9,E11.8,metformin,empagliflozin,
Coronary artery disease,0.25,I25.10,I25.5,aspirin,clopidogrel,
Chronic kidney disease,0.1,N18.31,N18.5,sevelamer,,
Gout,0.1,M10.00,M10.9,allopurinol,colchicine,
Carpal tunnel syndrome,0.15,G56.00,G56.01,,,
Migraine,0.2,G43.009,G43.909,sumatriptan,,
Low back pain,0.4,M54.50,M54.40,acetaminophen,diclofenac,
Actinic keratosis,0.1,L57.0,L57.0,,,
Urinary tract infection,0.2,N30.00,N30.90,,,
Dizziness,0.1,R42,R42,,,
